"Timestamp","Q.1.Institution","Q.2.Role","Q.3.Discipline","Q.4.Fund","Q.5.Seniority","Q.6.Use.Software","Q.7.Importance.Software","Q.8.Developing.Software","Q.9.Training.Software","Q.10.Cost.Software","Q.11.Main.Software","E.1.Job.Title","E.2.Gender","E.3.Contract","E.4.OS","dataOrigin","Question.1..In.which.country.do.you.live.","X","X.1","Q.2.I conduct research","Q.2.I develop software for researchers","Q.2.I manage researchers or research projects","Q.2.I support researchers","Q.4.Fund.clean","Q.9.Training.Software.clean","Q.9.Training.Software.YN","E.1.Job.Title.clean","E.2.Gender.clean","E.4.OS.clean"
"10/20/2014 10:11:41","The University of Nottingham","I conduct research, I support researchers, I manage researchers or research projects, I develop software for researchers","Biological, mathematical & physical sciences","University central funds","6-10 years","Yes","It would not be practical to conduct my work without software","Yes","Yes - a taught course","No, but we expected to develop software as part of the project","python, matlab, R, sage, ...","Assistant professor","Male","Permanent","Linux","survey",NA,NA,NA,1,1,1,1,"University central funds","Taught","Yes","Professor","Male","Linux"
"10/20/2014 10:13:57","Imperial College London","I conduct research","Biological, mathematical & physical sciences","EPSRC - Engineering and Physical Sciences Research Council","6-10 years","Yes","It would not be practical to conduct my work without software","Yes","Yes - self taught using online resources or books","Yes","ROOT, Mathematica, Matlab, Latex, Comsol, Labview","Research Fellow","Male","Fixed term","Linux","survey",NA,NA,NA,1,0,0,0,"EPSRC - Engineering and Physical Sciences Research Council","Self-Taught","No",NA,"Male","Linux"
"10/20/2014 10:19:07","University of Sheffield","I conduct research","Administrative & business studies","University central funds","1-5 years","Yes","It would not be practical to conduct my work without software","No","No","I'm not involved in bid writing","SPSS, Amos, NVivo, Excel.","PhD Researcher","Male","Prefer not to say","Microsoft Windows","survey",NA,NA,NA,1,0,0,0,"University central funds","No","No","Researcher","Male","Microsoft Windows"
"10/20/2014 10:30:09","University of Bristol","I conduct research","Biological, mathematical & physical sciences","BBSRC - Biotechnology and Biological Sciences Research Council","1-5 years","Yes","It would not be practical to conduct my work without software","No","No","I'm not involved in bid writing","SPSS, Volocity, Excel, ImageJ, FLIR Thermal Imaging, ","PhD student","Female","Fixed term","Microsoft Windows","survey",NA,NA,NA,1,0,0,0,"BBSRC - Biotechnology and Biological Sciences Research Council","No","No","Postgraduate student","Female","Microsoft Windows"
"10/20/2014 11:31:15","Imperial College London","I conduct research, I manage researchers or research projects","Engineering & technology","industry","More than 20 years","Yes","My work would require more effort, but it would still be possible","No","No","No, but we expected to develop software as part of the project","Petrel, Kingdom Suite, IRAP-RMS, Passage, ImageJ, Fraclac, Excel","Reader","Male","Permanent","Microsoft Windows","survey",NA,NA,NA,1,0,1,0,"Industry","No","No","Reader","Male","Microsoft Windows"
"10/20/2014 11:33:48","Imperial College London","I conduct research, I manage researchers or research projects, I develop software for researchers","Engineering & technology","EPSRC - Engineering and Physical Sciences Research Council","6-10 years","Yes","It would not be practical to conduct my work without software","Yes","Yes - self taught using online resources or books","No","R, Self-built models in GAMS Java and Python","Lecturer","Male","Permanent","Mac OS X","survey",NA,NA,NA,1,1,1,0,"EPSRC - Engineering and Physical Sciences Research Council","Self-Taught","No","Lecturer","Male","Mac OS X"
"10/20/2014 11:40:59","University of Liverpool","I conduct research","Social studies","University central funds","1-5 years","Yes","My work would require more effort, but it would still be possible","No","No","No","Nvivo","Lecturer in the Sociology of Public Health","Female","Permanent","Microsoft Windows","survey",NA,NA,NA,1,0,0,0,"University central funds","No","No","Lecturer","Female","Microsoft Windows"
"10/20/2014 11:41:38","University of Birmingham","I support researchers","Social studies","DFID","1-5 years","No","It would make no significant difference to my work","No","No","I'm not involved in bid writing","","Research Support Officer","Female","Fixed term","Microsoft Windows","survey",NA,NA,NA,0,0,0,1,"Other UK Gov","No","No",NA,"Female","Microsoft Windows"
"10/20/2014 11:51:33","University of Bristol","I conduct research, I develop software for researchers","Biological, mathematical & physical sciences","EPSRC - Engineering and Physical Sciences Research Council","More than 20 years","Yes","It would not be practical to conduct my work without software","Yes","Yes - a taught course, Yes - self taught using online resources or books","Yes","Visual Studio c++
Ghostscript, Ghostview
Excel
Word","post doc researcher","Female","Fixed term","Microsoft Windows","survey",NA,NA,NA,1,1,0,0,"EPSRC - Engineering and Physical Sciences Research Council","Self-taugh+Taught","Yes","Researcher","Female","Microsoft Windows"
"10/20/2014 11:57:15","University of Sheffield","I conduct research","Administrative & business studies","ESRC - Economic and Social Research Council","1-5 years","Yes","It would not be practical to conduct my work without software","Yes","Yes - a taught course","I'm not involved in bid writing","Mendely, Qualtrics, MPlus, SPSS, ","PhD student","Female","Fixed term","Microsoft Windows","survey",NA,NA,NA,1,0,0,0,"ESRC - Economic and Social Research Council","Taught","Yes","Postgraduate student","Female","Microsoft Windows"
"10/20/2014 12:03:23","University of Leeds","I conduct research","Biological, mathematical & physical sciences","University central funds","6-10 years","Yes","It would not be practical to conduct my work without software","Yes","No","Yes","UK Met Office Unified Model (Climate model), BASISM (ice sheet model), Biggs iceberg model, BIOME4 (vegetation model), bespoke processing and analysis scripts and various analysis and visualisation tools, including ferret, MATLAB, panoply, nco, cdo etc.","University Research Fellow","Male","Prefer not to say","Don't have a preference","survey",NA,NA,NA,1,0,0,0,"University central funds","No","No",NA,"Male",NA
"10/20/2014 12:06:23","University of Glasgow","I conduct research","Social studies","University central funds","15-20 years","No","It would make no significant difference to my work","No","No","No","","Senior Lecturer","Female","Permanent","Microsoft Windows","survey",NA,NA,NA,1,0,0,0,"University central funds","No","No","Lecturer","Female","Microsoft Windows"
"10/20/2014 12:07:19","University of Glasgow","I conduct research","Humanities & language based studies & archaeology","ERC (European Research Council)","1-5 years","No","It would make no significant difference to my work","No","No","I'm not involved in bid writing","","","Female","Fixed term","Mac OS X","survey",NA,NA,NA,1,0,0,0,"Europe","No","No","","Female","Mac OS X"
"10/20/2014 12:17:12","University of Bristol","I conduct research","Engineering & technology","EPSRC - Engineering and Physical Sciences Research Council","1-5 years","Yes","It would not be practical to conduct my work without software","Yes","Yes - self taught using online resources or books","I'm not involved in bid writing","MATLAB
Origin
MEEP
Labview
Winspec
Microsoft Excel
","PHD Student","Male","Fixed term","Microsoft Windows","survey",NA,NA,NA,1,0,0,0,"EPSRC - Engineering and Physical Sciences Research Council","Self-Taught","No","Postgraduate student","Male","Microsoft Windows"
"10/20/2014 12:22:53","Imperial College London","I support researchers, I develop software for researchers","Biological, mathematical & physical sciences","STFC - Science and Technology Facilities Council","1-5 years","Yes","It would not be practical to conduct my work without software","Yes","Yes - a taught course","I'm not involved in bid writing","C++, Python, ROOT, Bash","PhD Student","Male","Fixed term","Linux","survey",NA,NA,NA,0,1,0,1,"STFC - Science and Technology Facilities Council","Taught","Yes","Postgraduate student","Male","Linux"
"10/20/2014 12:25:28","Imperial College London","I conduct research, I support researchers, I develop software for researchers","Engineering & technology","EPSRC - Engineering and Physical Sciences Research Council","1-5 years","Yes","It would not be practical to conduct my work without software","Yes","Yes - a taught course","No, but we expected to develop software as part of the project","C#, Visual Studio, Asp.net, Excel, MongoDB, SQLServer","Research Associate","Male","Fixed term","Microsoft Windows","survey",NA,NA,NA,1,1,0,1,"EPSRC - Engineering and Physical Sciences Research Council","Taught","Yes",NA,"Male","Microsoft Windows"
"10/20/2014 12:45:23","University of Bristol","I conduct research","Medicine, dentistry & health","NIHR","1-5 years","Yes","It would not be practical to conduct my work without software","Yes","Yes - a taught course","I'm not involved in bid writing","Stata, R, WinBUG, EndNote, Excel, ","Research associate ","Female","Fixed term","Microsoft Windows","survey",NA,NA,NA,1,0,0,0,"National Institute for Health Research","Taught","Yes",NA,"Female","Microsoft Windows"
"10/20/2014 12:52:07","University of Sheffield","I conduct research, I support researchers, I manage researchers or research projects, I develop software for researchers","Engineering & technology","EPSRC - Engineering and Physical Sciences Research Council","6-10 years","Yes","My work would require more effort, but it would still be possible","Yes","No","I'm not involved in bid writing","Matlab, MPB, MEEP, Fullwave, Bandsolve","Research Associate","Male","Fixed term","Linux","survey",NA,NA,NA,1,1,1,1,"EPSRC - Engineering and Physical Sciences Research Council","No","No",NA,"Male","Linux"
"10/20/2014 12:59:24",NA,"I conduct research, I manage researchers or research projects, I develop software for researchers","Biological, mathematical & physical sciences","STFC - Science and Technology Facilities Council","1-5 years","Yes","It would not be practical to conduct my work without software","Yes","Yes - self taught using online resources or books","No, but we expected to develop software as part of the project","RMCprofile, DL_POLY, CASTEP, gnuplot","Lecturer","Male","Permanent","Mac OS X","survey",NA,NA,NA,1,1,1,0,"STFC - Science and Technology Facilities Council","Self-Taught","No","Lecturer","Male","Mac OS X"
"10/20/2014 13:01:08","Imperial College London","I conduct research, I develop software for researchers","Biological, mathematical & physical sciences","NERC - Natural Environment Research Council","11-15 years","Yes","It would not be practical to conduct my work without software","Yes","Yes - a taught course, Yes - self taught using online resources or books","Yes","Firedrake
PyOP2
FEniCS
PETSc
Numpy
","Research Fellow","Male","Permanent","Linux","survey",NA,NA,NA,1,1,0,0,"NERC - Natural Environment Research Council","Self-taugh+Taught","Yes",NA,"Male","Linux"
"10/20/2014 13:01:27","University of Liverpool","I conduct research","Social studies","ESRC - Economic and Social Research Council","6-10 years","Yes","It would not be practical to conduct my work without software","No","No","No","SPSS, HUDAP","Lecturer","Female","Permanent","Mac OS X","survey",NA,NA,NA,1,0,0,0,"ESRC - Economic and Social Research Council","No","No","Lecturer","Female","Mac OS X"
"10/20/2014 13:01:33","University of Leeds","I conduct research","Humanities & language based studies & archaeology","Don't know","Less than a year","No","It would make no significant difference to my work","No","No","No","","Online Learning Specialist","Male","Fixed term","Microsoft Windows","survey",NA,NA,NA,1,0,0,0,"Don't know","No","No","Online Learning Specialist","Male","Microsoft Windows"
"10/20/2014 13:01:47","Imperial College London","I conduct research, I support researchers, I manage researchers or research projects, I develop software for researchers","Engineering & technology","Oil companies","More than 20 years","Yes","It would not be practical to conduct my work without software","Yes","No","No","Eclipse, STARS, Mistress","Professor","Female","Permanent","VMS","survey",NA,NA,NA,1,1,1,1,"Industry","No","No","Professor","Female","VMS"
"10/20/2014 13:04:21","University of Sheffield","I conduct research, I support researchers, I manage researchers or research projects","Medicine, dentistry & health","MRC - Medical Research Council","More than 20 years","Yes","It would not be practical to conduct my work without software","No","No","No","Datadesk","Professor of Paediatric Bone Disease","Male","Permanent","Mac OS X","survey",NA,NA,NA,1,0,1,1,"MRC - Medical Research Council","No","No","Professor","Male","Mac OS X"
"10/20/2014 13:06:59","Imperial College London","I conduct research","Biological, mathematical & physical sciences","Grantham Institute","1-5 years","Yes","It would not be practical to conduct my work without software","Yes","No","I'm not involved in bid writing","R, SPSS, Excel, MATLAB, ArcMap, MestreNova","PhD student","Male","Fixed term","Microsoft Windows","survey",NA,NA,NA,1,0,0,0,"Other charity or fundation","No","No","Postgraduate student","Male","Microsoft Windows"
"10/20/2014 13:11:45","Imperial College London","I conduct research","Biological, mathematical & physical sciences","STFC - Science and Technology Facilities Council","1-5 years","Yes","It would not be practical to conduct my work without software","Yes","Yes - a taught course, Yes - self taught using online resources or books","I'm not involved in bid writing","ROOT (root.cern.ch), pyroot, mathematica, own software in C++ and python","Postgraduate student","Male","Fixed term","Linux","survey",NA,NA,NA,1,0,0,0,"STFC - Science and Technology Facilities Council","Self-taugh+Taught","Yes","Postgraduate student","Male","Linux"
"10/20/2014 13:19:29","University of Bristol","I conduct research","Biological, mathematical & physical sciences","MRC - Medical Research Council","6-10 years","Yes","It would not be practical to conduct my work without software","No","No","I'm not involved in bid writing","Volocity, Image J, Licor software","Research Associate","Female","Fixed term","Mac OS X","survey",NA,NA,NA,1,0,0,0,"MRC - Medical Research Council","No","No",NA,"Female","Mac OS X"
"10/20/2014 13:20:35","University of Glasgow","I conduct research, I manage researchers or research projects","Medicine, dentistry & health","ms society","6-10 years","Yes","It would not be practical to conduct my work without software","Yes","Yes - self taught using online resources or books","No","Microsoft Office Excel (visual basic for applications)
Matlab
SPSS
","research physiotherapist","Female","Fixed term","Microsoft Windows","survey",NA,NA,NA,1,0,1,0,"Other charity or fundation","Self-Taught","No","Researcher","Female","Microsoft Windows"
"10/20/2014 13:26:30","University of Leeds","I conduct research","Biological, mathematical & physical sciences","EC","1-5 years","Yes","It would not be practical to conduct my work without software","No","No","I'm not involved in bid writing","Microsoft Access, Microsoft Excel, SPSS, OriginLab","Postdoctoral Research Fellow","Female","Fixed term","Don't have a preference","survey",NA,NA,NA,1,0,0,0,"Europe","No","No",NA,"Female",NA
"10/20/2014 13:28:11","University of Birmingham","I conduct research","Education","Templeton","11-15 years","Yes","It would not be practical to conduct my work without software","No","No","No","excel, SPSS, MLwIN, Nvivo","Lecturer","Male","Permanent","Don't have a preference","survey",NA,NA,NA,1,0,0,0,"Other charity or fundation","No","No","Lecturer","Male",NA
"10/20/2014 13:31:49",NA,"I conduct research, I manage researchers or research projects","Humanities & language based studies & archaeology","ESRC - Economic and Social Research Council","1-5 years","No","It would make no significant difference to my work","No","No","No","","Research Fellow","Male","Fixed term","Microsoft Windows","survey",NA,NA,NA,1,0,1,0,"ESRC - Economic and Social Research Council","No","No",NA,"Male","Microsoft Windows"
"10/20/2014 13:36:02","Queen's University Belfast","I conduct research","Social studies","University central funds","1-5 years","Yes","My work would require more effort, but it would still be possible","No","Yes - self taught using online resources or books","No","SPSS Nvivo ","","Male","Permanent","Mac OS X","survey",NA,NA,NA,1,0,0,0,"University central funds","Self-Taught","No","","Male","Mac OS X"
"10/20/2014 13:36:02","Imperial College London","I conduct research","Engineering & technology","Grantham Institute","1-5 years","Yes","It would not be practical to conduct my work without software","Yes","Yes - self taught using online resources or books","No, but we expected to develop software as part of the project","Matlab
Excel
Vensim
Python
Origin

","PhD Candidate","Male","Fixed term","Microsoft Windows","survey",NA,NA,NA,1,0,0,0,"Other charity or fundation","Self-Taught","No","Postgraduate student","Male","Microsoft Windows"
"10/20/2014 13:37:18","University of Bristol","I conduct research","Biological, mathematical & physical sciences","EPSRC - Engineering and Physical Sciences Research Council","1-5 years","Yes","It would not be practical to conduct my work without software","Yes","No","No","Matlab
Microsoft Office
","PhD student","Male","Fixed term","Microsoft Windows","survey",NA,NA,NA,1,0,0,0,"EPSRC - Engineering and Physical Sciences Research Council","No","No","Postgraduate student","Male","Microsoft Windows"
"10/20/2014 13:39:33","Imperial College London","I conduct research, I support researchers","Biological, mathematical & physical sciences","EPSRC - Engineering and Physical Sciences Research Council","1-5 years","Yes","It would not be practical to conduct my work without software","Yes","No","I'm not involved in bid writing","MATLAB scripts written by myself or collaborators","PhD Student","Male","Fixed term","Mac OS X","survey",NA,NA,NA,1,0,0,1,"EPSRC - Engineering and Physical Sciences Research Council","No","No","Postgraduate student","Male","Mac OS X"
"10/20/2014 13:40:17","University of Leeds","I conduct research, I manage researchers or research projects","Biological, mathematical & physical sciences","EPSRC - Engineering and Physical Sciences Research Council","15-20 years","Yes","It would not be practical to conduct my work without software","Yes","No","No","Matlab, Maple, Python, TAO, PETSCI, MPI, C, Fortran","Professor of Mathematics","Male","Permanent","Linux","survey",NA,NA,NA,1,0,1,0,"EPSRC - Engineering and Physical Sciences Research Council","No","No","Professor","Male","Linux"
"10/20/2014 13:44:12","University of Bristol","I conduct research","Biological, mathematical & physical sciences","NERC - Natural Environment Research Council","1-5 years","Yes","My work would require more effort, but it would still be possible","No","No","I'm not involved in bid writing","ImageJ, InSite","PhD candidate","Female","Fixed term","Microsoft Windows","survey",NA,NA,NA,1,0,0,0,"NERC - Natural Environment Research Council","No","No","Postgraduate student","Female","Microsoft Windows"
"10/20/2014 13:45:58","Queen's University Belfast","I conduct research","Social studies","government departments","6-10 years","Yes","My work would require more effort, but it would still be possible","No","No","No","NVivo, SPSS","Research Fellow","Female","Fixed term","Microsoft Windows","survey",NA,NA,NA,1,0,0,0,"Other UK Gov","No","No",NA,"Female","Microsoft Windows"
"10/20/2014 13:55:08","University of Liverpool","I conduct research","Medicine, dentistry & health","Wellcome Trust","1-5 years","Yes","It would not be practical to conduct my work without software","Yes","Yes - self taught using online resources or books","No","R, STATA","PhD Student","Female","Fixed term","Mac OS X","survey",NA,NA,NA,1,0,0,0,"Wellcome Trust","Self-Taught","No","Postgraduate student","Female","Mac OS X"
"10/20/2014 13:57:31","University of Liverpool","I conduct research","Biological, mathematical & physical sciences","Leverhulme Trust","11-15 years","Yes","It would not be practical to conduct my work without software","No","No","No","SPSS
Sigmaplot
Primer 6+ (Primer E ltd)
R
Excel
","Research Fellow","Female","Fixed term","Mac OS X","survey",NA,NA,NA,1,0,0,0,"Leverhulme Trust","No","No",NA,"Female","Mac OS X"
"10/20/2014 13:58:56","University","I conduct research","Design, creative & performing arts","School","1-5 years","Yes","It would not be practical to conduct my work without software","No","Yes - self taught using online resources or books","No","Origin 9, spectrum v5.3.1 (FTIR), Testexpert 2","PhD student","Female","Fixed term","Microsoft Windows","survey",NA,NA,NA,1,0,0,0,"School","Self-Taught","No","Postgraduate student","Female","Microsoft Windows"
"10/20/2014 14:10:36","University of Birmingham","I conduct research, I manage researchers or research projects","Social studies","UK government departments","11-15 years","No","It would make no significant difference to my work","No","Yes - self taught using online resources or books","No","","Project manager","Male","Permanent","Don't have a preference","survey",NA,NA,NA,1,0,1,0,"Other UK Gov","Self-Taught","No",NA,"Male",NA
"10/20/2014 14:13:18",NA,"I manage researchers or research projects","Biological, mathematical & physical sciences","NERC - Natural Environment Research Council","6-10 years","Yes","It would not be practical to conduct my work without software","Yes","Yes - a taught course, Yes - self taught using online resources or books","Yes","Sequenceserver, blast, bwa, R
","Senior Lecturer","Prefer not to say","Permanent","Mac OS X","survey",NA,NA,NA,0,0,1,0,"NERC - Natural Environment Research Council","Self-taugh+Taught","Yes","Lecturer",NA,"Mac OS X"
"10/20/2014 14:15:47","Queen's University Belfast","I conduct research","Administrative & business studies","Employer","6-10 years","Yes","My work would require more effort, but it would still be possible","Yes","No","No","NVIVO","Researcher","Male","Prefer not to say","Microsoft Windows","survey",NA,NA,NA,1,0,0,0,"Industry","No","No","Researcher","Male","Microsoft Windows"
"10/20/2014 14:18:40","University of Liverpool","I conduct research, I manage researchers or research projects","Architecture & planning","RIBA research ","1-5 years","Yes","It would not be practical to conduct my work without software","Yes","Yes - self taught using online resources or books","No","Rhinoceros 5
Grasshopper
DIVA
Adobe suite","Lecturer","Male","Permanent","Microsoft Windows","survey",NA,NA,NA,1,0,1,0,"Other UK Gov","Self-Taught","No","Lecturer","Male","Microsoft Windows"
"10/20/2014 14:18:40","Imperial College London","I conduct research","Biological, mathematical & physical sciences","EPSRC - Engineering and Physical Sciences Research Council","6-10 years","Yes","It would not be practical to conduct my work without software","No","Yes - self taught using online resources or books","No","Mathworks, Maplesoft","Research Associate","Male","Fixed term","Linux","survey",NA,NA,NA,1,0,0,0,"EPSRC - Engineering and Physical Sciences Research Council","Self-Taught","No",NA,"Male","Linux"
"10/20/2014 14:19:10",NA,"I conduct research, I support researchers, I manage researchers or research projects","Humanities & language based studies & archaeology","AHRC - Arts and Humanities Research Council","More than 20 years","Yes","My work would require more effort, but it would still be possible","Yes","Yes - a taught course","No","R for statistical analysis; varbrule (ditto); online corpora such as World Atlas of Language Structures(http://wals.info); Syntactic Structures of the Wolrds Languages (http://sswl.railsplayground.net); javascript / Ruby scripts for experiments.","Professor of Linguistics","Male","Permanent","Mac OS X","survey",NA,NA,NA,1,0,1,1,"AHRC - Arts and Humanities Research Council","Taught","Yes","Professor","Male","Mac OS X"
"10/20/2014 14:21:00",NA,"I conduct research","Biological, mathematical & physical sciences","EU","1-5 years","Yes","It would not be practical to conduct my work without software","Yes","Yes - a taught course, Yes - self taught using online resources or books","I'm not involved in bid writing","python, perl, R, Trinity, samtools, gatK, SOAPdenovo, Newbler, Velvet/Oases, STRUCTURE ","Marie Curie Early Stage Researcher (PhD)","Female","Fixed term","Mac OS X","survey",NA,NA,NA,1,0,0,0,"Europe","Self-taugh+Taught","Yes","Researcher","Female","Mac OS X"
"10/20/2014 14:21:48","Queen's University Belfast","I conduct research, I manage researchers or research projects","Humanities & language based studies & archaeology","British Academy","More than 20 years","No","It would make no significant difference to my work","No","Yes - a taught course","Yes","","Lecturer","Male","Permanent","Microsoft Windows","survey",NA,NA,NA,1,0,1,0,"Other charity or fundation","Taught","Yes","Lecturer","Male","Microsoft Windows"
"10/20/2014 14:21:50","University of Liverpool","I conduct research, I support researchers","Medicine, dentistry & health","NIHR","15-20 years","Yes","It would not be practical to conduct my work without software","No","No","Yes","SAS
R
Stata
","Lecturer","Male","Permanent","Microsoft Windows","survey",NA,NA,NA,1,0,0,1,"National Institute for Health Research","No","No","Lecturer","Male","Microsoft Windows"
"10/20/2014 14:30:34","University of Glasgow","I conduct research","Social studies","AHRC - Arts and Humanities Research Council","11-15 years","Yes","My work would require more effort, but it would still be possible","No","No","No","SSPS","Professor","Male","Permanent","Microsoft Windows","survey",NA,NA,NA,1,0,0,0,"AHRC - Arts and Humanities Research Council","No","No","Professor","Male","Microsoft Windows"
"10/20/2014 14:37:29","University of Leeds","I conduct research, I support researchers, I develop software for researchers","Biological, mathematical & physical sciences","Not prepared to answer","11-15 years","Yes","It would not be practical to conduct my work without software","Yes","Yes - a taught course","Yes","Propietary software at Leeds: MG, CUBEMPI, spectral MHD codes.","Research Fellow and HPC Support Officer","Male","Fixed term","Don't have a preference","survey",NA,NA,NA,1,1,0,1,"Insufficient information","Taught","Yes",NA,"Male",NA
"10/20/2014 14:43:21","University of Leeds","I conduct research, I support researchers, I manage researchers or research projects","Biological, mathematical & physical sciences","University central funds","More than 20 years","Yes","It would not be practical to conduct my work without software","Yes","No","No","R","professor of statistics","Male","Permanent","Linux","survey",NA,NA,NA,1,0,1,1,"University central funds","No","No","Professor","Male","Linux"
"10/20/2014 14:45:53","Imperial College London","I conduct research, I support researchers, I manage researchers or research projects","Engineering & technology","EPSRC - Engineering and Physical Sciences Research Council","More than 20 years","Yes","It would not be practical to conduct my work without software","Yes","Yes - a taught course, Yes - self taught using online resources or books","No","Matlab, Auto, Fortran","Professor","Male","Permanent","Microsoft Windows","survey",NA,NA,NA,1,0,1,1,"EPSRC - Engineering and Physical Sciences Research Council","Self-taugh+Taught","Yes","Professor","Male","Microsoft Windows"
"10/20/2014 14:49:57","University of Bristol","I conduct research","Humanities & language based studies & archaeology","AHRC - Arts and Humanities Research Council","11-15 years","No","It would make no significant difference to my work","No","No","No, but we expected to develop software as part of the project","","Professor","Male","Permanent","Microsoft Windows","survey",NA,NA,NA,1,0,0,0,"AHRC - Arts and Humanities Research Council","No","No","Professor","Male","Microsoft Windows"
"10/20/2014 15:02:53","University of Bristol","I conduct research","Engineering & technology","Private","Less than a year","Yes","It would not be practical to conduct my work without software","Yes","No","I'm not involved in bid writing","MATLAB","PhD Student","Male","Fixed term","Microsoft Windows","survey",NA,NA,NA,1,0,0,0,"Insufficient information","No","No","Postgraduate student","Male","Microsoft Windows"
"10/20/2014 15:11:25","University of Birmingham","I manage researchers or research projects","Biological, mathematical & physical sciences","EPSRC - Engineering and Physical Sciences Research Council","More than 20 years","Yes","It would not be practical to conduct my work without software","Yes","No","No, but we expected to develop software as part of the project","QuantumEspresso, VASP, NWChem, GPAW, Amber, GMIN (Cambridge), PELE (Cambridge), Birmingham Cluster Genetic Algorithm (written in our group).","Professor","Male","Permanent","Linux","survey",NA,NA,NA,0,0,1,0,"EPSRC - Engineering and Physical Sciences Research Council","No","No","Professor","Male","Linux"
"10/20/2014 15:17:21","University of Leeds","I conduct research","Humanities & language based studies & archaeology","WRoCAH","Less than a year","Yes","My work would require more effort, but it would still be possible","No","No","No","Mendeley, EndNote, Sente, Microsoft Word, Excel, Powerpoint, Latex, ","PhD candidate","Male","Fixed term","Mac OS X","survey",NA,NA,NA,1,0,0,0,"AHRC - Arts and Humanities Research Council","No","No","Postgraduate student","Male","Mac OS X"
"10/20/2014 15:23:01",NA,"I conduct research, I manage researchers or research projects","Biological, mathematical & physical sciences","private sector","11-15 years","Yes","It would not be practical to conduct my work without software","No","No","No","Mestranova
Excel","Senior Lecturer","Female","Permanent","Microsoft Windows","survey",NA,NA,NA,1,0,1,0,"Insufficient information","No","No","Lecturer","Female","Microsoft Windows"
"10/20/2014 15:29:28",NA,"I do research but am officially 'retired'","Biological, mathematical & physical sciences","Myself","More than 20 years","Yes","It would not be practical to conduct my work without software","Yes","No","No","R, Geany, C, C++, LibreOffice Calc","Professor Emeritus","Prefer not to say","","Linux","survey",NA,NA,NA,0,0,0,0,"Self funded","No","No","Professor",NA,"Linux"
"10/20/2014 15:30:16","University of Sheffield","I conduct research","Biological, mathematical & physical sciences","EU","1-5 years","Yes","It would not be practical to conduct my work without software","Yes","No","I'm not involved in bid writing","MatLab, OpenSim","Research Associate in Theoretical Neuroscience","Male","Fixed term","Linux","survey",NA,NA,NA,1,0,0,0,"Europe","No","No",NA,"Male","Linux"
"10/20/2014 15:30:31","Imperial College London","I conduct research, I support researchers","Engineering & technology","Don't know","1-5 years","Yes","My work would require more effort, but it would still be possible","No","No","No","Origin
Matlab
Python","PhD","Male","Permanent","Microsoft Windows","survey",NA,NA,NA,1,0,0,1,"Don't know","No","No","Postgraduate student","Male","Microsoft Windows"
"10/20/2014 15:35:30","University of Bristol","I conduct research, I develop software for researchers","Social studies","MRC - Medical Research Council","1-5 years","No","It would make no significant difference to my work","Yes","Yes - self taught using online resources or books","I'm not involved in bid writing","","Research Associate","Male","Fixed term","Linux","survey",NA,NA,NA,1,1,0,0,"MRC - Medical Research Council","Self-Taught","No",NA,"Male","Linux"
"10/20/2014 15:38:23","Imperial College London","I conduct research","Biological, mathematical & physical sciences","STFC - Science and Technology Facilities Council","11-15 years","Yes","It would not be practical to conduct my work without software","Yes","Yes - self taught using online resources or books","No","ROOT","Research Associate","Male","Prefer not to say","Linux","survey",NA,NA,NA,1,0,0,0,"STFC - Science and Technology Facilities Council","Self-Taught","No",NA,"Male","Linux"
"10/20/2014 15:40:25","University of Liverpool","I conduct research, I manage researchers or research projects, I develop software for researchers","Engineering & technology","EPSRC - Engineering and Physical Sciences Research Council","1-5 years","Yes","My work would require more effort, but it would still be possible","Yes","Yes - a taught course, Yes - self taught using online resources or books","No, but we expected to develop software as part of the project","PRISM, NuSMV","Lecturer","Male","Permanent","Don't have a preference","survey",NA,NA,NA,1,1,1,0,"EPSRC - Engineering and Physical Sciences Research Council","Self-taugh+Taught","Yes","Lecturer","Male",NA
"10/20/2014 15:40:29","The University of Nottingham","I support researchers","Biological, mathematical & physical sciences","Don't know","1-5 years","Yes","My work would require more effort, but it would still be possible","Yes","Yes - self taught using online resources or books","I'm not involved in bid writing","","Technician","Male","Permanent","Microsoft Windows","survey",NA,NA,NA,0,0,0,1,"Don't know","Self-Taught","No","Technician","Male","Microsoft Windows"
"10/20/2014 15:40:59","The University of Nottingham","I conduct research, I support researchers","Humanities & language based studies & archaeology","AHRC - Arts and Humanities Research Council","1-5 years","Yes","My work would require more effort, but it would still be possible","No","No","I'm not involved in bid writing","PAST hammer, ArcGIS","Research Fellow","Female","Fixed term","Microsoft Windows","survey",NA,NA,NA,1,0,0,1,"AHRC - Arts and Humanities Research Council","No","No",NA,"Female","Microsoft Windows"
"10/20/2014 15:48:42","The University of Nottingham","I conduct research, I manage researchers or research projects","Engineering & technology","EU","6-10 years","Yes","My work would require more effort, but it would still be possible","No","Yes - self taught using online resources or books","No","SPSS","Research Fellow","Female","Fixed term","Microsoft Windows","survey",NA,NA,NA,1,0,1,0,"Europe","Self-Taught","No",NA,"Female","Microsoft Windows"
