"Timestamp","Q.3.Discipline","Q.4.Fund","Q.6.Use.Software","Q.7.Importance.Software","Q.8.Developing.Software","Q.9.Training.Software","Q.10.Cost.Software","Q.11.Main.Software","E.1.Job.Title","E.2.Gender","E.4.OS","dataOrigin"
"9/10/2014 13:01:32","Biological, mathematical & physical sciences","NERC - Natural Environment Research Council","Yes","It would not be practical to conduct my work without software","Yes","Yes - self taught using online resources or books","I'm not involved in bid writing","R, Matlab, Python","PhD student","Female","Don't have a preference","phd"
"9/10/2014 13:15:50","Medicine, dentistry & health","Private donation","Yes","It would not be practical to conduct my work without software","Yes","Yes - a taught course","No, but we expected to develop software as part of the project","Impractical to provide a full answer - I routinely use hundreds (if not thousands) of different pieces of research software.","PhD Student","Male","Linux","phd"
"9/10/2014 13:45:11","Humanities & language based studies & archaeology","AHRC - Arts and Humanities Research Council","Yes","It would not be practical to conduct my work without software","No","Yes - a taught course, Yes - self taught using online resources or books","No","SPSS statistics, ArchGIS","Field archaeologist","Female","Don't have a preference","phd"
"9/10/2014 13:58:26","Engineering & technology","EPSRC - Engineering and Physical Sciences Research Council","Yes","It would not be practical to conduct my work without software","Yes","Yes - a taught course, Yes - self taught using online resources or books","Yes","Self-written image analysis, Self-written agent simulations, various scripts etc.","PhD Researcher","Male","Don't have a preference","phd"
"9/10/2014 14:30:49","Medicine, dentistry & health","University central funds","No","It would make no significant difference to my work","No","No","No","","Research Assistant","Female","Microsoft Windows","phd"
"9/10/2014 14:47:36","Biological, mathematical & physical sciences","SEPnet","Yes","It would not be practical to conduct my work without software","Yes","Yes - a taught course, Yes - self taught using online resources or books","I'm not involved in bid writing","heasarc tools for astronomical data, asurv, Monte Carlo software written by another university, funtools","PhD student","Female","Don't have a preference","phd"
"9/10/2014 15:11:04","Engineering & technology","EPSRC - Engineering and Physical Sciences Research Council","Yes","It would not be practical to conduct my work without software","Yes","Yes - self taught using online resources or books","No","Matlab, Comsol Multiphysics, Coventorware, Silvaco DeckBuild, L-Edit, Cadence PSpice, TeXnicCentre, Sigmaplot, Corel Photopaint, Adobe Photoshop, inkscape","PhD Student","Male","Microsoft Windows","phd"
"9/10/2014 17:10:36","Biological, mathematical & physical sciences","NERC - Natural Environment Research Council","Yes","It would not be practical to conduct my work without software","Yes","Yes - a taught course, Yes - self taught using online resources or books","I'm not involved in bid writing","Matlab,
R,
Biogeochemical models written in C & fortran,
SSH Secure Shell (to access Unix),
Open Text Exceed (to display graphics on Unix),
Microsoft Excel (used to process simple datasets)","PhD Student","Male","Microsoft Windows","phd"
"9/10/2014 18:09:43","Social studies","EPSRC - Engineering and Physical Sciences Research Council","Yes","It would not be practical to conduct my work without software","Yes","Yes - self taught using online resources or books","No","All own software made using R, PHP, C#
SR Research Experiment Builder and Dataviewer
","Postgraduate Student","Female","Microsoft Windows","phd"
"9/10/2014 18:55:30","Education","Self and employer","No","It would make no significant difference to my work","No","Yes - a taught course","No","I took a course in NVivo software for qualitative analysis but ultimately chose to analyse dada manually","University Principal Lecturer","Male","Microsoft Windows","phd"
"9/10/2014 20:11:47","Social studies","EPSRC - Engineering and Physical Sciences Research Council","Yes","It would not be practical to conduct my work without software","Yes","Yes - a taught course, Yes - self taught using online resources or books","I'm not involved in bid writing","R, python, java, repast, mason, octave...","PGR","Male","Linux","phd"
"9/10/2014 21:46:56","Social studies","Myself","No","It would make no significant difference to my work","No","No","I'm not involved in bid writing","","","Prefer not to say","Microsoft Windows","phd"
"9/10/2014 22:41:05","Medicine, dentistry & health","my government","Yes","It would not be practical to conduct my work without software","No","No","No","","Clinical Fellow","Male","Mac OS X","phd"
"9/11/2014 7:52:07","Engineering & technology","University central funds","No","It would make no significant difference to my work","No","No","I'm not involved in bid writing","","Senior Research Assistant","Female","Microsoft Windows","phd"
"9/11/2014 8:43:02","Biological, mathematical & physical sciences","EPSRC - Engineering and Physical Sciences Research Council","Yes","My work would require more effort, but it would still be possible","Yes","No","I'm not involved in bid writing","GAP
Mathematica","PhD student","Male","Mac OS X","phd"
"9/11/2014 9:11:39","Engineering & technology","EPSRC - Engineering and Physical Sciences Research Council","Yes","It would not be practical to conduct my work without software","Yes","Yes - a taught course, Yes - self taught using online resources or books","No","OpenFOAM CFD
Matlab","Research Fellow","Male","Don't have a preference","phd"
"9/11/2014 9:42:09","Engineering & technology","EPSRC - Engineering and Physical Sciences Research Council","Yes","It would not be practical to conduct my work without software","No","Yes - a taught course, Yes - self taught using online resources or books","I'm not involved in bid writing","GDS instruments software, MatLab, Excel","PhD student","Female","Microsoft Windows","phd"
"9/11/2014 10:13:01","Biological, mathematical & physical sciences","ETI","Yes","My work would require more effort, but it would still be possible","Yes","No","I'm not involved in bid writing","MS office suit, Stata, eddypro, ","PhD Researcher","Female","Microsoft Windows","phd"
"9/11/2014 13:53:45","Biological, mathematical & physical sciences","ESRC - Economic and Social Research Council","Yes","It would not be practical to conduct my work without software","Yes","Yes - a taught course","I'm not involved in bid writing","R
SPSS","PhD student","Male","Microsoft Windows","phd"
"9/11/2014 14:03:15","Humanities & language based studies & archaeology","Me","No","My work would require more effort, but it would still be possible","No","Yes - a taught course","I'm not involved in bid writing","SPSS
NVivo","PRG","Female","Microsoft Windows","phd"
"9/12/2014 10:09:53","Social studies","ESRC - Economic and Social Research Council","Yes","My work would require more effort, but it would still be possible","No","Yes - a taught course","No","Nvivo, Endnote","Post graduate student","Female","Microsoft Windows","phd"
"9/12/2014 11:43:10","Humanities & language based studies & archaeology","Self","No","It would make no significant difference to my work","No","No","I'm not involved in bid writing","","P/T higher degree mature student","Female","Mac OS X","phd"
"9/12/2014 11:52:14","Medicine, dentistry & health","mixed","Yes","It would not be practical to conduct my work without software","Yes","No","No, but we expected to develop software as part of the project","Bespoke 'BigSister' Video analysis software, Tobii Eyetracker, bespoke Gaze Plot anaysis software","Lecturer ","Female","Microsoft Windows","phd"
"9/12/2014 12:56:40","Medicine, dentistry & health","University central funds","Yes","My work would require more effort, but it would still be possible","No","No","I'm not involved in bid writing","Limesurvey
MS Excel
SPSS","PhD student","Female","Microsoft Windows","phd"
"9/12/2014 16:19:01","Biological, mathematical & physical sciences","BBSRC - Biotechnology and Biological Sciences Research Council","Yes","My work would require more effort, but it would still be possible","No","No","No","ImageQuant, SigmaPlot, Prism, ChemDraw, BioEdit, pDraw, EndNote, Chimera. Online bioinformatic software (e.g. ClustalW and BLAST).","PhD Student","Male","Microsoft Windows","phd"
"9/14/2014 12:42:20","Design, creative & performing arts","AHRC - Arts and Humanities Research Council","Yes","It would not be practical to conduct my work without software","Yes","Yes - a taught course","No, but we expected to develop software as part of the project","mendeley
endnote
","phd student","Female","Mac OS X","phd"
